nb_filter,filter_length,pool_length,subsample_length,val_acc
50,10,5,1,0.5653610199957088
100,5,2,16,0.622463424175401
50,2,3,4,0.4931571481291446
40,2,4,16,0.5266635185736088
200,5,4,16,0.5757432818525295
80,10,1,2,0.5205285515971991
